$TagName,V4::DPU1005.SH0190.AALM2.PV,V4::DPU1005.SH0190.AALM4.PV,V4::DPU1015.SH0013.AALM4.PV
@2026-04-24 23:20:00,2895.522461(GOOD),284.215637(GOOD),59.908501(GOOD)
@2026-04-24 23:21:00,2889.681152(GOOD),285.156708(GOOD),60.070698(GOOD)
@2026-04-24 23:22:00,2933.072266(GOOD),286.097626(GOOD),59.992809(GOOD)
@2026-04-24 23:23:00,2980.635742(GOOD),285.156677(GOOD),60.018818(GOOD)
@2026-04-24 23:24:00,2938.079102(GOOD),278.703156(GOOD),59.960419(GOOD)
@2026-04-24 23:25:00,2882.171143(GOOD),284.618896(GOOD),59.934525(GOOD)
@2026-04-24 23:26:00,2955.602539(GOOD),278.703339(GOOD),59.973434(GOOD)
@2026-04-24 23:27:00,2867.985596(GOOD),284.619049(GOOD),59.966934(GOOD)
@2026-04-24 23:28:00,2949.761230(GOOD),280.989075(GOOD),59.999332(GOOD)
@2026-04-24 23:29:00,2938.079102(GOOD),285.156921(GOOD),60.005825(GOOD)
@2026-04-24 23:30:00,2858.806641(GOOD),280.182220(GOOD),59.934452(GOOD)
@2026-04-24 23:31:00,2867.151123(GOOD),279.644379(GOOD),59.986362(GOOD)
@2026-04-24 23:32:00,2940.582520(GOOD),280.585754(GOOD),59.901958(GOOD)
@2026-04-24 23:33:00,2938.079102(GOOD),280.585754(GOOD),59.999260(GOOD)
@2026-04-24 23:34:00,2878.833496(GOOD),280.047943(GOOD),59.927959(GOOD)
@2026-04-24 23:35:00,2968.953369(GOOD),282.333344(GOOD),59.882477(GOOD)
@2026-04-24 23:36:00,2890.515625(GOOD),278.703339(GOOD),59.927986(GOOD)
@2026-04-24 23:37:00,2949.761230(GOOD),279.644440(GOOD),59.843586(GOOD)
@2026-04-24 23:38:00,2904.701416(GOOD),279.106720(GOOD),59.882488(GOOD)
@2026-04-24 23:39:00,2881.336670(GOOD),285.156860(GOOD),59.979897(GOOD)
@2026-04-24 23:40:00,2901.363281(GOOD),280.047943(GOOD),59.966919(GOOD)
@2026-04-24 23:41:00,2898.860107(GOOD),280.988922(GOOD),59.999317(GOOD)
@2026-04-24 23:42:00,2935.575928(GOOD),280.047821(GOOD),59.876122(GOOD)
@2026-04-24 23:43:00,2858.806641(GOOD),280.585632(GOOD),59.999332(GOOD)
@2026-04-24 23:44:00,2904.701416(GOOD),280.182220(GOOD),59.966934(GOOD)
@2026-04-24 23:45:00,3082.437988(GOOD),280.047760(GOOD),59.778725(GOOD)
@2026-04-24 23:46:00,2943.919922(GOOD),279.644257(GOOD),60.051235(GOOD)
@2026-04-24 23:47:00,3005.668945(GOOD),278.299957(GOOD),59.856628(GOOD)
@2026-04-24 23:48:00,2966.450195(GOOD),281.929962(GOOD),60.012325(GOOD)
@2026-04-24 23:49:00,2941.416748(GOOD),278.703278(GOOD),59.940918(GOOD)
@2026-04-24 23:50:00,2968.953369(GOOD),277.762177(GOOD),59.908516(GOOD)
@2026-04-24 23:51:00,2933.072266(GOOD),279.644379(GOOD),59.960423(GOOD)
@2026-04-24 23:52:00,2963.946777(GOOD),278.299957(GOOD),59.953918(GOOD)
@2026-04-24 23:53:00,2986.477051(GOOD),278.299957(GOOD),59.895531(GOOD)
@2026-04-24 23:54:00,2943.919922(GOOD),279.241058(GOOD),59.882538(GOOD)
@2026-04-24 23:55:00,2927.231201(GOOD),278.703339(GOOD),59.934521(GOOD)
@2026-04-24 23:56:00,2952.264404(GOOD),279.644440(GOOD),59.934517(GOOD)
@2026-04-24 23:57:00,2923.893311(GOOD),279.644440(GOOD),59.934513(GOOD)
@2026-04-24 23:58:00,2938.079102(GOOD),279.241150(GOOD),60.057716(GOOD)
@2026-04-24 23:59:00,3023.192139(GOOD),279.644562(GOOD),59.979908(GOOD)
