时间戳,自垃圾池渗滤液进水流量_平均值,自垃圾池渗滤液进水流量_变化值,自垃圾池渗滤液进水流量_变化率,厌氧进水泵出口1流量_平均值,厌氧进水泵出口1流量_变化值,厌氧进水泵出口1流量_变化率,厂区环境温度_平均值,厂区环境温度_变化值,厂区环境温度_变化率,厂区环境湿度_平均值,厂区环境湿度_变化值,厂区环境湿度_变化率,调节池PH值_实时值,调节池PH值_HRT平均值,调节池COD_实时值,调节池COD_HRT平均值,调节池氨氮_实时值,调节池氨氮_HRT平均值,调节池COD_输出_t+120min,调节池氨氮_输出_t+120min
2026-05-12 04:00:00,23.92928321698113,-3.209259000000003,-0.050567532594793956,2.9084359339622643,0.0,0.0,23.06943396226414,-0.23999999999999844,-0.010385114668974403,84.38113207547171,1.6999999999999886,0.02026221692491047,5.742857142857143,5.79109233771252,36280.0,38538.1862926049,1984.571428571429,1498.8097804495897,36280.0,1984.571428571429
2026-05-12 06:00:00,13.033307358490564,-33.909258,-0.588343006099486,2.9200720849056587,-0.03148200000000001,-0.010698727278967906,22.512547169811313,-0.5,-0.02196836555360281,86.65754716981131,1.8999999999999915,0.02211874272409769,5.742857142857143,5.791395304158681,36280.0,38505.44617435028,1984.571428571429,1499.0179473641797,36280.0,1984.571428571429
2026-05-12 08:00:00,13.787757245283018,0.0,0.0,2.934617537735847,0.08148199999999983,0.0277604307735287,23.583490566037735,2.7699999999999996,0.12149122807017541,83.8433962264151,-7.799999999999997,-0.09069767441860462,5.742857142857143,5.791097303727358,36280.0,38503.5519903133,1984.571428571429,1501.181555492952,36280.0,1984.571428571429
2026-05-12 10:00:00,0.0,0.0,0.0,2.986749905660376,0.1185179999999999,0.04027672192518636,25.813301886792452,1.8500000000000014,0.07489878542510127,78.12452830188677,-2.8000000000000114,-0.03526448362720417,5.742857142857143,5.7907072429134745,36280.0,38506.28585288946,1984.571428571429,1503.6514601036554,36280.0,1984.571428571429
2026-05-12 12:00:00,0.0,0.0,0.0,3.0028259622641493,-0.0074070000000001635,-0.002459889389663869,27.49396226415094,1.1000000000000014,0.04033736707004039,73.82641509433961,-4.3999999999999915,-0.058823529411764594,5.742857142857143,5.789479171739243,36280.0,38550.56163068059,1984.571428571429,1508.9502626489798,36280.0,1984.571428571429
2026-05-12 14:00:00,21.262292801886787,0.859259,0.0,2.9453538207547165,-0.18148199999999992,-0.05990236431511436,26.549528301886784,-6.920000000000002,-0.23731138545953367,79.50660377358491,24.200000000000003,0.3548387096774194,5.742857142857143,5.788512891490684,36280.0,38572.83025593941,1984.571428571429,1513.7596594425263,36280.0,1984.571428571429
2026-05-12 16:00:00,14.706090471698117,0.0,0.0,2.9381746981132073,0.07592599999999994,0.026366581817802957,23.00632075471698,2.530000000000001,0.1151570323167957,91.6132075471698,-8.0,-0.08492569002123142,5.742857142857143,5.790384059981062,36280.0,38472.79816102934,1984.571428571429,1508.1812153751684,36280.0,1984.571428571429
2026-05-12 18:00:00,0.0,0.0,0.0,2.9508987075471684,-0.04444500000000007,-0.01510402559919094,24.61896226415096,-0.030000000000001137,-0.0012239902080783817,87.05377358490561,0.20000000000000284,0.002317497103128654,5.742857142857143,5.789253087682285,36280.0,38511.557165028455,1984.571428571429,1513.2010937845648,36280.0,1984.571428571429
2026-05-12 20:00:00,0.0,0.0,0.0,2.885247849056605,0.0,0.0,23.41933962264151,-1.6700000000000017,-0.06872427983539102,89.34622641509436,5.0,0.05688282138794084,5.742857142857143,5.788647303970972,36280.0,38522.88722111548,1984.571428571429,1516.5017975479072,36280.0,1984.571428571429
2026-05-12 22:00:00,0.0,0.0,0.0,2.8443141698113235,-0.037037999999999904,-0.012920231055787053,22.594905660377368,-0.14000000000000057,-0.006186478126380936,79.87264150943395,-12.0,-0.13245033112582782,5.742857142857143,5.788813622088429,36280.0,38500.29434922173,1984.571428571429,1516.9800704291436,36280.0,1984.571428571429
